Nome associazione;Indirizzo;Tipo;Note
Aiutiamoli a vivere comitato di Mozzecane ;via Giuseppe Verdi, 8;Assistenziale;aiuto persone in difficoltà prevalentemente bambini
Amici del cavallo Mozzecane A.S.D.;via S.Faustino, 6;Sportiva;Pratica e sviluppo Attività equestri
Associazione culturale cenacolo veronese;via Roma, 44 ;Culturale;Attività di organizzazioni con fini culturali  e ricreativi
associazione nazionale alpini gruppo di mozzecane;via XXV Aprile, 31;Culturale;attività culturale
associazione guide e scout cattolici italiani;Via C.Montanari, 1;Ricreativa;Educazione bambini e giovani
associazione nazionale carabinieri-sezione mozzecane;via IV Novembre, 3;Culturale;culturale
Baco Da Seta;via C.Montanari, 61;Ricreativa;circolo ricreativo per anziani
Calcio club Mozzecane;via Eugenio Montale, 13/C;Sportiva;associazione no profit
"Centro Giovanile ""S. Giovanni Bosco""";via C.Montanari, 1;Ricreativa;Non ha fini di lucro e persegue finalità di solidarietà civile, culturale e sociale volte alla promozione dell'aggregazione
Circolo Noi San Zeno in Mozzo;via Miniscalchi, 8;Ricreativa;solidarietà civile
Complesso bandistico città di Mozzecane;via C. Bon Brenzoni, 26;Culturale;attività culturale
Fidas Verona sezione di Mozzecane ;via C.Montanari, 61;Culturale;Propaganda al dono del sangue
Gruppo sportivo Athletic;via C.Bon Brenzoni, 76/C;Sportiva;Sociali e ricreative
Gruppo Donne San Zeno;via F.Miniscalchi, 8;Ricreativa;Aiutare chi è nel bisogno
Gruppo organizzativo Manifestazioni con la Mucca;via Marconi, 27;Ricreativa;culturale
Gruppo promotore ass. coro polifonico;via C.Montanari, 1;Culturale;Canto corale
LINUX LUDUS;via Caduti di Nassirya, 8;Culturale;Promuovere la diffusione del sistema operativo LINUX, fornire supporto software e organizzare mostre e convegni 
Stanza delle genti;via Regina Margherita, 36;Culturale;Culturale
Associazione Ievents;via Marzabotto 11;Ricreativa;cultura e ricreativi
Associazione Famiglie insieme;via Quartieri 2;Culturale;attività culturali
Associazione nazionali combattenti reduci ;via Crocetta 33;Culturale;attività culturali
Associazione Coderdojo Il Tione;via G. Ferroni 4;Ricreativa;attività culturali e ricreativi
Circolo AUSER Le Risorgive;via delle Risorgive 1;Culturale;attività culturali e ricreativi
20 20 Ventiventi Associazione di promozione sociale;via C. Montanari 64;Culturale;culturali ricreativi solidaristiche e di utilità sociale
The cat's Mozzecane e Valeggio odv;Vicolo dell'aviere 10 ;Culturale;organizzazione difesa animali
A.S. Mozzecane calcio a 5;via Duca degli Abruzzi, 34C;Sportiva;sportiva di calcio a 5
A.S.D BoccioFila Mozzecane;via Mediana, 2;Sportiva;Diffusione di attività sportive connesse alla disciplina del gioco delle bocce
"A.S.D. ""Tennis Club Mozzecane""";via Mediana, 2;Sportiva;Tennis
A.S.D. 6 x correre;via Roma, 15/a;Sportiva;"Attività agonistica ricreativa nella disciplina dell'atletica leggera; in particolare nel podismo"
A.S.D. Calcio Mozzecane ;via Mediana, 2;Sportiva;Sportiva calcio
A.S.D. Polisportiva Mozzecane;via Mediana, 2;Sportiva;attività culturali e sportive
Amatori Mozzecane;via Duca degli Abruzzi, 2;Sportiva;Sportiva calcio
DALPOL A.S.D.;via Montanari, 4;Sportiva;Sportiva calcio
Fortitudo Mozzecane C.F.;via Ugo Foscolo, 1;Sportiva;Pratica e diffusione del calcio femminile
Ginnastica artistica Dossobuono;via Alessandri, 54;Sportiva;Promuovere e sviluppare attività sportiva per bambini
Quadri volley A.S.D;via Mediana, 2;Sportiva;Promozione, diffusione e avviamento alla pratica dello sport della pallavolo non agonistica e agonistica
Scuola shotokan karatedo;via Mediana, 2;Sportiva;"Promozione della disciplina sportiva ""karate tradizionale"""
A.S.D. Millecolori;Corte Beccaria 7/a;Sportiva;Attività ludico motoria Baskin
A.S.D. Villafranca Baseball & Softball;Via A. Manzoni 1/A;Sportiva;sport baseball/softball
